# Catalog from Petigura et al. (2013)
# http://arxiv.org/abs/1311.6806
# period radius radius_uncert
1.2100e+01 1.2500e+00 4.0000e-01
1.4728e+02 2.5700e+00 3.4000e-01
5.6355e+01 2.1900e+00 2.6000e-01
1.8870e+01 3.0300e+00 9.2000e-01
3.4302e+01 3.8200e+00 1.1500e+00
1.4749e+01 3.0300e+00 3.9000e-01
7.1710e+00 2.5200e+00 2.6000e-01
6.4800e+00 1.0600e+00 3.5000e-01
3.9855e+01 1.3600e+00 4.2000e-01
6.9120e+00 6.2000e-01 9.0000e-02
1.2896e+01 2.0300e+00 6.4000e-01
1.1776e+01 2.3500e+00 2.4000e-01
3.1518e+01 2.3300e+00 2.4000e-01
1.6543e+01 2.0100e+00 6.1000e-01
1.9130e+01 2.1300e+00 6.5000e-01
8.1170e+01 3.0800e+00 9.4000e-01
4.4852e+01 2.8900e+00 8.8000e-01
1.9904e+02 5.3000e+00 1.0200e+00
1.1046e+01 2.0200e+00 6.2000e-01
3.9309e+01 3.2500e+00 3.5000e-01
3.4189e+01 3.0300e+00 3.1000e-01
7.7940e+00 5.7700e+00 6.7000e-01
4.0716e+01 2.2100e+00 6.6000e-01
4.1166e+01 8.9600e+00 2.8900e+00
1.5379e+01 1.4300e+00 4.5000e-01
3.4516e+02 8.4400e+00 8.6000e-01
1.2925e+01 2.3900e+00 2.7000e-01
1.3948e+01 1.2200e+00 3.8000e-01
1.2254e+01 1.0000e+00 3.1000e-01
1.4971e+01 1.9200e+00 2.1000e-01
3.8326e+01 1.5000e+00 4.6000e-01
4.7032e+01 1.8000e+00 5.4000e-01
7.6500e+00 2.3900e+00 7.2000e-01
6.9110e+00 1.9400e+00 2.1000e-01
2.8511e+01 2.8600e+00 2.9000e-01
7.2570e+00 2.8200e+00 3.0000e-01
1.7791e+01 2.0300e+00 6.4000e-01
8.8516e+01 5.6600e+00 6.2000e-01
1.3821e+01 1.9300e+00 2.1000e-01
8.8642e+01 2.3900e+00 2.8000e-01
5.1300e+01 2.4000e+00 7.8000e-01
1.0665e+01 1.7100e+00 5.2000e-01
2.6784e+01 1.8600e+00 5.7000e-01
7.9740e+00 2.3000e+00 2.4000e-01
3.0361e+01 9.9600e+00 2.9900e+00
1.1092e+02 3.0400e+00 3.4000e-01
1.4387e+01 2.8700e+00 3.3000e-01
1.2990e+01 2.1200e+00 2.5000e-01
1.0061e+01 2.5500e+00 2.6000e-01
4.5090e+01 1.8300e+00 5.6000e-01
1.6881e+02 1.7400e+00 2.5000e-01
3.8479e+01 1.2890e+01 3.8700e+00
1.2798e+01 1.7900e+00 5.4000e-01
1.3681e+01 1.2300e+00 3.7000e-01
4.2337e+01 1.0600e+00 3.2000e-01
1.0459e+01 1.1800e+00 3.7000e-01
1.0625e+02 1.8900e+00 2.4000e-01
2.7083e+01 2.4200e+00 2.6000e-01
9.4340e+00 5.8600e+00 6.1000e-01
5.1810e+01 2.6800e+00 2.9000e-01
2.4757e+01 2.0900e+00 6.3000e-01
8.1737e+01 2.1600e+00 2.3000e-01
1.4532e+01 1.7000e+00 5.2000e-01
1.3646e+01 2.0700e+00 6.3000e-01
6.2139e+01 2.5200e+00 7.8000e-01
2.7572e+01 1.7200e+00 5.2000e-01
4.1886e+01 2.7700e+00 8.4000e-01
9.7710e+00 6.8600e+00 2.0600e+00
2.0550e+01 3.7100e+00 3.8000e-01
1.6458e+01 1.9200e+00 5.9000e-01
3.9817e+01 2.9800e+00 3.6000e-01
4.9608e+01 1.9800e+00 2.1000e-01
1.4719e+01 1.1800e+00 3.6000e-01
1.2288e+02 2.5700e+00 4.3000e-01
4.5156e+01 7.3300e+00 2.2000e+00
8.7100e+00 2.3700e+00 7.2000e-01
3.7815e+01 1.1400e+00 1.2000e-01
2.8863e+01 2.4300e+00 2.7000e-01
1.2737e+01 1.0100e+00 1.3000e-01
9.9747e+01 4.3600e+00 1.3400e+00
1.8594e+02 9.7100e+00 3.8900e+00
6.5427e+01 1.7800e+00 5.6000e-01
1.2271e+01 1.4800e+00 4.6000e-01
1.7205e+01 2.4000e+00 7.2000e-01
2.5303e+01 3.4500e+00 1.0500e+00
9.1500e+01 1.9500e+00 2.5000e-01
5.6188e+01 2.5400e+00 3.7000e-01
1.7762e+01 1.6110e+01 5.2600e+00
6.4230e+00 1.4700e+00 4.4000e-01
4.0429e+01 2.7100e+00 8.2000e-01
3.3243e+01 1.8900e+00 5.8000e-01
3.3386e+01 2.4100e+00 7.3000e-01
1.5024e+02 5.3300e+00 6.5000e-01
7.6135e+01 5.5800e+00 5.7000e-01
2.2183e+01 2.9600e+00 3.4000e-01
1.5504e+02 2.5330e+01 2.5800e+00
7.4670e+00 1.1100e+00 1.3000e-01
4.2944e+01 1.7100e+01 5.1500e+00
2.8252e+02 9.0300e+00 9.1000e-01
3.1829e+01 1.3300e+00 4.5000e-01
7.6590e+00 2.2600e+00 6.8000e-01
